Calibration metrics:
x159: Cal. error 0.4820, RMSE 0.6413, R2 -10.5437
x160: Cal. error 0.4850, RMSE 0.6198, R2 -10.0086
x161: Cal. error 0.4880, RMSE 0.5998, R2 -9.7690
x162: Cal. error 0.4770, RMSE 0.5881, R2 -9.2826
x163: Cal. error 0.4800, RMSE 0.5902, R2 -9.3014
x164: Cal. error 0.4850, RMSE 0.5919, R2 -9.0258
x165: Cal. error 0.4870, RMSE 0.6101, R2 -9.1191
x166: Cal. error 0.4880, RMSE 0.6208, R2 -8.9571
x167: Cal. error 0.4940, RMSE 0.6453, R2 -9.2087
x168: Cal. error 0.4940, RMSE 0.6616, R2 -9.0919
x169: Cal. error 0.4940, RMSE 0.6530, R2 -9.2348
x170: Cal. error 0.4910, RMSE 0.6419, R2 -9.1872
x171: Cal. error 0.4910, RMSE 0.6803, R2 -9.5368
x172: Cal. error 0.4880, RMSE 0.6853, R2 -9.5603
x173: Cal. error 0.4910, RMSE 0.6742, R2 -9.9662
x174: Cal. error 0.4850, RMSE 0.6537, R2 -10.2083
x175: Cal. error 0.4880, RMSE 0.6549, R2 -10.9758
x176: Cal. error 0.4950, RMSE 0.6518, R2 -11.2841
x177: Cal. error 0.4970, RMSE 0.6668, R2 -11.8464
x178: Cal. error 0.4990, RMSE 0.6604, R2 -11.9385
x179: Cal. error 0.4990, RMSE 0.6495, R2 -12.2858
x180: Cal. error 0.5020, RMSE 0.6196, R2 -11.8789
x181: Cal. error 0.5020, RMSE 0.6016, R2 -11.4625
x182: Cal. error 0.5050, RMSE 0.5757, R2 -10.6457
x183: Cal. error 0.5020, RMSE 0.5537, R2 -10.1892
x184: Cal. error 0.5020, RMSE 0.5346, R2 -9.4241
x185: Cal. error 0.4970, RMSE 0.5398, R2 -9.3430
x186: Cal. error 0.4970, RMSE 0.5406, R2 -8.9332
x187: Cal. error 0.4990, RMSE 0.5573, R2 -9.0200
x188: Cal. error 0.5020, RMSE 0.5307, R2 -8.3113
x189: Cal. error 0.5050, RMSE 0.5152, R2 -7.8591
x190: Cal. error 0.5050, RMSE 0.4622, R2 -6.1329
x191: Cal. error 0.4990, RMSE 0.3922, R2 -4.1166
x192: Cal. error 0.4990, RMSE 0.5335, R2 -8.2808
x193: Cal. error 0.4970, RMSE 0.5789, R2 -9.3836
x194: Cal. error 0.4970, RMSE 0.6284, R2 -10.3690
x195: Cal. error 0.4910, RMSE 0.6523, R2 -11.0324
x196: Cal. error 0.4910, RMSE 0.6720, R2 -11.4690
x197: Cal. error 0.4910, RMSE 0.6806, R2 -11.6277
x198: Cal. error 0.4910, RMSE 0.6895, R2 -11.6392
x199: Cal. error 0.4880, RMSE 0.6938, R2 -11.5655
x200: Cal. error 0.4850, RMSE 0.6722, R2 -11.1855
x201: Cal. error 0.4850, RMSE 0.6495, R2 -10.7131
x202: Cal. error 0.4820, RMSE 0.6259, R2 -10.1364
x203: Cal. error 0.4740, RMSE 0.6068, R2 -9.7317
x204: Cal. error 0.4600, RMSE 0.5768, R2 -9.2206
x205: Cal. error 0.4570, RMSE 0.5523, R2 -8.9609
x206: Cal. error 0.4570, RMSE 0.5311, R2 -8.6828
x207: Cal. error 0.4630, RMSE 0.5226, R2 -8.7359
x208: Cal. error 0.4700, RMSE 0.5140, R2 -8.7287
x209: Cal. error 0.4770, RMSE 0.5186, R2 -9.1748
x210: Cal. error 0.4770, RMSE 0.5213, R2 -9.5323
x211: Cal. error 0.4850, RMSE 0.5348, R2 -10.2437
x212: Cal. error 0.4940, RMSE 0.5454, R2 -10.8569
x213: Cal. error 0.4990, RMSE 0.5651, R2 -11.7346
x214: Cal. error 0.4990, RMSE 0.5840, R2 -12.4270
x215: Cal. error 0.4970, RMSE 0.6001, R2 -13.3179
x216: Cal. error 0.4940, RMSE 0.5978, R2 -13.7818
x217: Cal. error 0.4940, RMSE 0.6065, R2 -14.3175
x218: Cal. error 0.4910, RMSE 0.6182, R2 -14.5130
x219: Cal. error 0.4880, RMSE 0.6393, R2 -14.8711
x220: Cal. error 0.4940, RMSE 0.6670, R2 -14.9791
x221: Cal. error 0.4970, RMSE 0.7129, R2 -15.3982
x222: Cal. error 0.4990, RMSE 0.7629, R2 -15.5587
x223: Cal. error 0.4990, RMSE 0.7750, R2 -15.8584
x224: Cal. error 0.4980, RMSE 0.7629, R2 -15.6839
x225: Cal. error 0.5020, RMSE 0.7443, R2 -15.5977
x226: Cal. error 0.4990, RMSE 0.7383, R2 -15.2356
x227: Cal. error 0.4990, RMSE 0.7354, R2 -15.0351
x228: Cal. error 0.4990, RMSE 0.7400, R2 -14.7258
x229: Cal. error 0.4980, RMSE 0.7622, R2 -14.8609
x230: Cal. error 0.5010, RMSE 0.7818, R2 -14.8670
